timestamp,open,high,low,close,volume
2015-01-30,57.7200,62.8000,53.8000,61.1900,33350934
2014-12-30,64.4000,64.8300,53.5600,57.6200,32177669
2014-11-28,57.8800,67.0900,56.1000,64.5000,29861746
2014-10-31,61.0200,62.1100,52.9400,58.0500,32868214
2014-09-30,57.3400,63.3800,56.5500,59.2500,32656695
2014-08-29,58.8500,60.5100,54.1600,57.0400,37807007
2014-07-31,74.4000,74.6400,58.7000,59.4100,33332592
2014-06-30,79.0900,79.1000,72.0200,73.9700,23839405
2014-05-30,77.5000,79.7900,75.4400,78.7400,20004252
2014-04-30,79.1500,79.8100,73.7500,76.9300,20907671
2014-03-31,82.2000,83.4900,74.7600,78.5400,32311101
2014-02-28,83.1300,87.1100,79.9500,84.4000,19549601
2014-01-31,92.8800,93.2200,81.7300,82.8900,22584246
2013-12-30,89.6700,92.6800,85.7600,92.6400,13508632
2013-11-29,84.1900,89.9100,83.1200,89.5200,15529844
2013-10-31,80.3300,85.7100,78.6100,84.0800,16720154
2013-09-30,81.2300,83.3900,77.7100,80.1800,22121667
2013-08-30,84.3400,88.5000,79.9800,80.0000,15038547
2013-07-31,83.5300,86.7100,80.1000,83.8000,16220146
2013-06-28,83.4800,84.4900,76.4400,83.1400,19753781
2013-05-31,79.9700,88.3500,79.3700,84.0900,17150059
2013-04-30,81.3700,82.4200,73.5600,79.3000,16925461
2013-03-28,69.8500,83.1000,69.7000,80.9400,23522696
2013-02-28,68.6600,72.6400,66.5100,69.8000,17846784
2013-01-31,68.3400,71.3100,66.0500,68.4500,15458331
2012-12-28,67.6200,69.2600,66.5300,67.3300,11556065
2012-11-30,65.9700,68.7000,62.6000,67.6200,15648112
2012-10-31,64.2600,68.3700,64.1900,65.7300,16818856
2012-09-28,62.0200,65.8600,61.8900,63.8400,19355141
2012-08-31,61.1800,63.5100,59.0000,62.2100,17861476
2012-07-31,56.2600,62.0500,55.4400,61.1100,22515237
2012-06-29,59.9000,60.0000,54.7500,56.4600,20668269
2012-05-31,63.5700,64.3000,58.3800,60.1900,20436546
2012-04-30,58.7300,63.7500,56.7200,63.0000,19489383
2012-03-30,58.3300,60.2900,55.5200,58.5400,23686972
2012-02-29,55.3500,60.8000,55.2800,58.9800,17430280
2012-01-31,49.5100,56.9400,49.5100,55.0800,19886751
2011-12-30,52.2900,52.5900,47.1100,50.2600,18018029
2011-11-30,50.0000,54.0000,47.1300,52.2600,26230901
2011-10-31,44.1850,52.8900,42.8550,51.1600,22038942
2011-09-30,48.4350,50.0100,44.1100,45.7750,28711177
2011-08-31,52.6800,53.0600,42.4200,48.4850,36985476
2011-07-29,54.7100,57.6200,50.4200,51.7900,24963562
2011-06-30,52.8000,55.2400,48.7650,54.7000,22951265
2011-05-31,50.4500,53.7700,49.5850,52.3900,24172217
2011-04-29,44.6250,50.2600,44.0400,50.2600,19095475
2011-03-31,46.8350,48.1450,42.4050,44.4550,28110700
2011-02-28,45.6200,49.8500,45.4650,46.5000,24035131
2011-01-31,49.2800,50.0700,44.6850,45.4900,22129891
2010-12-30,48.8200,51.5500,48.5250,48.8900,16186600
2010-11-30,47.0000,50.1500,45.6400,48.3600,26540738
2010-10-29,45.5750,48.0000,44.5000,46.8700,20008323
2010-09-30,40.2300,46.9700,40.0650,45.4100,22011351
2010-08-31,41.8100,43.7250,39.2500,40.1650,21425056
2010-07-30,39.1950,43.9250,38.5850,41.5600,21883057
2010-06-30,40.9200,43.9300,39.6400,39.8750,26356477
2010-05-31,43.8700,45.7700,38.4200,40.9200,33233405
2010-04-30,39.8450,45.1550,39.6850,44.1600,26888161
2010-03-31,36.6000,40.8800,35.2000,39.6000,34566675
2010-02-26,36.7600,37.5750,34.6400,36.3900,22571288
2010-01-29,37.9600,40.0650,36.0550,36.9100,25251841
2009-12-30,38.4900,39.3000,36.7200,37.7700,19707103
2009-11-30,31.6700,38.6800,31.3700,38.1300,27254462
2009-10-30,36.4300,36.9500,31.3500,31.5000,33230227
2009-09-30,33.2000,37.3400,30.8700,36.1700,25378818
2009-08-31,29.7000,34.1000,29.5900,32.8600,21924797
2009-07-31,27.2000,30.3700,24.7300,29.6500,24719999
2009-06-30,26.2100,28.3000,25.4200,27.1000,31166673
2009-05-29,28.7700,29.5600,23.3500,25.8100,47400130
2009-04-30,24.6600,30.7700,24.1400,28.6200,28559740
2009-03-31,22.4100,26.7900,22.3700,25.0600,39391897
2009-02-27,27.1500,29.9000,22.1000,23.0100,27560347
2009-01-30,26.6000,29.2500,24.3900,27.1300,24711496
2008-12-30,24.6700,27.9400,22.5100,27.1400,28590803
2008-11-28,27.8000,31.2300,21.2200,24.4600,38968793
2008-10-31,37.6300,38.0700,23.0100,27.5300,71429886
2008-09-30,39.8100,41.1600,36.2200,37.7000,42499251
2008-08-29,39.3400,43.9000,38.0400,40.0500,37647928
2008-07-31,40.0400,40.3000,34.3600,39.4100,43081586
2008-06-30,45.4900,46.4800,39.3900,40.1100,31654936
2008-05-30,41.0900,46.9400,40.0100,45.3200,36847268
2008-04-30,42.0700,43.3500,40.0500,40.9900,27160920
2008-03-31,41.4000,42.9400,38.2300,42.1100,41564253
2008-02-29,43.0900,44.5000,41.1400,41.9400,32904725
2008-01-31,51.0100,51.6300,37.8800,42.4800,67544256
